file,type,priority,error,suggestion,context,action
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,â08s,[Cần xem ảnh gốc],...002026066062904.02o2.ôô000e2mxâ08sS4eestÁnodpodÔstapseooooeooeo0...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,S4e,[Cần xem ảnh gốc],...26066062904.02o2.ôô000e2mxâ08sS4eestÁnodpodÔstapseooooeooeo0e09...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o0e,[Cần xem ảnh gốc],...8sS4eestÁnodpodÔstapseooooeooeo0e090veGsneoneomepwvussesnnpsnpo...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o99S,[Cần xem ảnh gốc],...npoptygpmsesssneoeoeaeoes.so$2o99S2t0nooeọsoạÐe Chúng tôi xin ca...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,t0n,[Cần xem ảnh gốc],...ygpmsesssneoeoeaeoes.so$2o99S2t0nooeọsoạÐe Chúng tôi xin cam kế...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s22ô,[Cần xem ảnh gốc],...iáo dục nước ngoài..4.9909.90%s22ô299093239898966e Ã Uoooseoroos...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ồ6ó,[Cần xem ảnh gốc],.......... Ô)..........ồồóồồồcồồóồ6ó.. Được thành lập theo:..........,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,G6e,[Cần xem ảnh gốc],...... 8)........ồóồcồồcồcCccồ6.ồG6eSe Có trụ sở tại:................,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s2222e,[Cần xem ảnh gốc],................................-s2222eee2220200006/92/255 655.999294...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s6s,[Cần xem ảnh gốc],...29496096984600498460808006260ós6s4s089ô2w%6G0seo809009990098999...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s089ô,[Cần xem ảnh gốc],...6096984600498460808006260ós6s4s089ô2w%6G0seo809009990098999060009...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,G0s,[Cần xem ảnh gốc],...0498460808006260ós6s4s089ô2w%6G0seo8090099900989990600099989084...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s20080608020080908060s,[Cần xem ảnh gốc],...60009998908406060909606Š004060s20080608020080908060s8000680468ô8Ooỏè042â8Rô4ô0s2so...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ô8O,[Cần xem ảnh gốc],...0080608020080908060s8000680468ô8Ooỏè042â8Rô4ô0s2soneeos2080ụ089...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,è042â,[Cần xem ảnh gốc],...08020080908060s8000680468ô8Ooỏè042â8Rô4ô0s2soneeos2080ụ0890889098...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ô4ô,[Cần xem ảnh gốc],...0908060s8000680468ô8Ooỏè042â8Rô4ô0s2soneeos2080ụ0890889098a68A2...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s2s,[Cần xem ảnh gốc],...060s8000680468ô8Ooỏè042â8Rô4ô0s2soneeos2080ụ0890889098a68A28060...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s2080ụ,[Cần xem ảnh gốc],...680468ô8Ooỏè042â8Rô4ô0s2soneeos2080ụ0890889098a68A280608 Xin phép ...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,a68A,[Cần xem ảnh gốc],...8Rô4ô0s2soneeos2080ụ0890889098a68A280608 Xin phép thành lập Văn ...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o0p,[Cần xem ảnh gốc],"....oumsmeso.swesnmsnsesọopos.,.,o0pọoxo.o.0o.s.s.esose2.eo..o..)Q...",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,e2V,[Cần xem ảnh gốc],"...0609..sanpnseeoessaaaenasaeoeoe2V9Sỹ0.2060s..bô2.., âsnooøPos.s...",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s0o,[Cần xem ảnh gốc],"...V9Sỹ0.2060s..bô2.., âsnooøPos.s0oÐAaeosnseeosssss.aeonmeos2oo.....",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s2o,[Cần xem ảnh gốc],...os.s0oÐAaeosnseeosssss.aeonmeos2oo..o./t.s.o.0ooo.....o.QMbsseo...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,n2n,[Cần xem ảnh gốc],...sos.so.osos.O.eo....o°oO.s.nx.n2ngessiu.oso.cesssesnweuseosee2p...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,e2p,[Cần xem ảnh gốc],...n2ngessiu.oso.cesssesnweuseosee2pso.sosssnseoeeosoo$s.opo.toe0e...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,e0e,[Cần xem ảnh gốc],...e2pso.sosssnseoeeosoo$s.opo.toe0eooÔososos.sesesose2se Ghỉ chú:...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,e2s,[Cần xem ảnh gốc],"...o$s.opo.toe0eooÔososos.sesesose2se Ghỉ chú: (1) Tên tổ chức, cơ...",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ơ7b,[Cần xem ảnh gốc],...Ã HỘI CHỦ NGHĨA VIỆT NAM —nmnẲơ7b Độc lập - Tự do - Hạnh phúc S...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,S9A,[Cần xem ảnh gốc],...200000101000090 0/05 9999989 NS9AÔNWS98eS8S.ô.2ós5Sn599020ạ$%Ỹø...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,S98e,[Cần xem ảnh gốc],...101000090 0/05 9999989 NS9AÔNWS98eS8S.ô.2ós5Sn599020ạ$%Ỹø..s..o....,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,S8S,[Cần xem ảnh gốc],...00090 0/05 9999989 NS9AÔNWS98eS8S.ô.2ós5Sn599020ạ$%Ỹø..s..o.023...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s5S,[Cần xem ảnh gốc],...05 9999989 NS9AÔNWS98eS8S.ô.2ós5Sn599020ạ$%Ỹø..s..o.0232e.a0..4...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,n599020ạ,[Cần xem ảnh gốc],...9999989 NS9AÔNWS98eS8S.ô.2ós5Sn599020ạ$%Ỹø..s..o.0232e.a0..4.nsâs23s...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,s23s,[Cần xem ảnh gốc],...020ạ$%Ỹø..s..o.0232e.a0..4.nsâs23s406ô09mmnsepoosae0e0eosSsnáCđá...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ô09m,[Cần xem ảnh gốc],"...ø..s..o.0232e.a0..4.nsâs23s406ô09mmnsepoosae0e0eosSsnáCđáseooo,s...",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,e0e,[Cần xem ảnh gốc],"....a0..4.nsâs23s406ô09mmnsepoosae0e0eosSsnáCđáseooo,sOoOe.eom.seo...",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,n1n,[Cần xem ảnh gốc],...nnnnnnnnnnnnnnnnnnnnnn nen nnnn1n005515. ThuộcC:..................,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,N0E,[Cần xem ảnh gốc],........nnnnn nen nen TEEETTTE16-N0E01E1EEE0001010000010000000006....,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,E1E,[Cần xem ảnh gốc],...nnnnn nen nen TEEETTTE16-N0E01E1EEE0001010000010000000006. Điện...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,E1n,[Cần xem ảnh gốc],...nnnnnnnnnnn nTnnnnn nnEEnn nnEE1nEˆEEEEennEn00n000 01/7 Được ph...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,n00n,[Cần xem ảnh gốc],...Tnnnnn nnEEnn nnEE1nEˆEEEEennEn00n000 01/7 Được phép thành lập V...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o2a,[Cần xem ảnh gốc],.........so..;.....sS.s..o.Oo.o..o2aÐa...seseeoe.Qnesesssoeoospe. ...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o0U,[Cần xem ảnh gốc],"...a...seseeoe.Qnesesssoeoospe. /o0Uo.tb/Go/oo.0.OoQo..o.,anooseoo...",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,B9S,[Cần xem ảnh gốc],...ooseoo.ooooesoeo09./...ooVV)98B9SPoP90ỹPPOŸÿọbUvgvsvwevoọ9tÓese...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,P90ỹ,[Cần xem ảnh gốc],...o.ooooesoeo09./...ooVV)98B9SPoP90ỹPPOŸÿọbUvgvsvwevoọ9tÓeseGenĐoĐ...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ọ9t,[Cần xem ảnh gốc],...V)98B9SPoP90ỹPPOŸÿọbUvgvsvwevoọ9tÓeseGenĐoĐseo - Địa chỉ đăng k...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ư1t,[Cần xem ảnh gốc],...định. Nei nhân mm CHỦ TỊCH - Ưư1tceu - Bộ Giáo dục và Đào tạo (...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,n0520099990004099909099999000909000000000900008n,[Cần xem ảnh gốc],...09009409099089990040000900000nn0520099990004099909099999000909000000000900008n8599999 Y........x...ooo.oo......,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o7o,[Cần xem ảnh gốc],...x...ooo.oo...g.oooooo......OÐOo7oxoÌo0Ọ0o....eÔ..oÐ.;..S..........,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o0Ọ,[Cần xem ảnh gốc],...o.oo...g.oooooo......OÐOo7oxoÌo0Ọ0o....eÔ..oÐ.;..S.......0........,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ọ3o,[Cần xem ảnh gốc],...am 31999..79909207o.1 9. )/ẽ$“ọ3oo9e9oo°P9600e2/0«6809099000092...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o9e,[Cần xem ảnh gốc],...31999..79909207o.1 9. )/ẽ$“ọ3oo9e9oo°P9600e2/0«6809099000092008...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,P9600e,[Cần xem ảnh gốc],...79909207o.1 9. )/ẽ$“ọ3oo9e9oo°P9600e2/0«68090990000920080n00099909...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,n7Ồ,[Cần xem ảnh gốc],......................nnunnnnnVnnn7Ồ050 050... í5)..............GG...,
143-cp.signed_BGD_processed.json,Ký tự lạ,THẤP,§,[Xóa hoặc thay thế],... đảm thực hiện thông§uôt việc giải quyết...,
143-cp.signed_BGD_processed.json,Ký tự lạ,THẤP,›,[Xóa hoặc thay thế],...năm....... TỜ TRÌNH › Về việc đề nghị ch...,
143-cp.signed_BGD_processed.json,Ký tự lạ,THẤP,‹,[Xóa hoặc thay thế],... dục của cơ sở giáo ‹ dục nước ngoài hoặ...,
143-cp.signed_BGD_processed.json,Ký tự lạ,THẤP,«,[Xóa hoặc thay thế],...“ọ3oo9e9oo°P9600e2/0«68090990000920080n0...,
143-cp.signed_BGD_processed.json,Ký tự lạ,THẤP,®,[Xóa hoặc thay thế],"... vi Ì hoạt động: HN ® NI"",              ...",
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,a2008019600090996909999090909069600990000880e,[Cần xem ảnh gốc],...049814918098019399990004260468a2008019600090996909999090909069600990000880e48464404048420909990909090992s...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,s8480609n,[Cần xem ảnh gốc],...e48464404048420909990909090992s8480609n09009950000042ea68Aa 2...eno25...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,a68A,[Cần xem ảnh gốc],...090992s8480609n09009950000042ea68Aa 2...eno259969296é£á“s2989009...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,o259969296é,[Cần xem ảnh gốc],...09n09009950000042ea68Aa 2...eno259969296é£á“s2989009668e 9 na20980420.9...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,s2989009668e,[Cần xem ảnh gốc],...042ea68Aa 2...eno259969296é£á“s2989009668e 9 na20980420.9000v49009420884...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,v490094208840060005050899999099820090906909990990600004400000999094009206900520P,[Cần xem ảnh gốc],...s2989009668e 9 na20980420.9000v490094208840060005050899999099820090906909990990600004400000999094009206900520P200e9990000082/208200269.80929...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,W099959096042009990700090900090Á,[Cần xem ảnh gốc],"...200e9990000082/208200269.80929W099959096042009990700090900090Á02.0ẹ4đọ"",               ""diem...",
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,ẹ4đ,[Cần xem ảnh gốc],"...9096042009990700090900090Á02.0ẹ4đọ"",               ""diem"": []  ...",
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,d0n,[Cần xem ảnh gốc],"...háng... năm... mm. 2262 ke, (dd0nm/yyyy) CƠ QUAN CÁP GIẦY PHÉP ...",
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,a60099090P,[Cần xem ảnh gốc],...00080000004009990.90949n40.602a60099090P9A04008A20Aaene009n98999998989...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,A04008A,[Cần xem ảnh gốc],...009990.90949n40.602a60099090P9A04008A20Aaene009n9899999898950609099...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e009n,[Cần xem ảnh gốc],...40.602a60099090P9A04008A20Aaene009n989999989895060909999050299089...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,P29099W,[Cần xem ảnh gốc],...900460080909900004680008a809Ñ0P29099W920249409099950290900400002e00...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,â186s,[Cần xem ảnh gốc],"...00000900000099024626œ0“3‹°2©14â186s«8ợø2° 3, Số điện thoại (Telep...",
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,A4806000808009099090n,[Cần xem ảnh gốc],...00098908085020098200049290804nA4806000808009099090ns49008686989/99020090096909099...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,S8046e,[Cần xem ảnh gốc],...9099988965s8)09<..09ộ9908.8524S8046e840062aN8908069ø9X50 nen nen k...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e4t,[Cần xem ảnh gốc],.........2.“.sasseneeeesananuaesee4teeon.a.e4eeeeseGsQeeCôooe0so.o...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e4e,[Cần xem ảnh gốc],...sasseneeeesananuaesee4teeon.a.e4eeeeseGsQeeCôooe0so.omteosts.si...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e0s,[Cần xem ảnh gốc],...esee4teeon.a.e4eeeeseGsQeeCôooe0so.omteosts.sinaesstsassssseoeo...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,n1n,[Cần xem ảnh gốc],...1 1N 1n nnnnnnnnnnn N n nn n nn1n0n0:01 - Điểm dừng thứ ba:.......,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e2e,[Cần xem ảnh gốc],...oooeoeoOeoỮsdoeoeoeoeosOos.eose2eoỶmseeeoeosiaaopeesasaess 2.8 ...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,k2n,[Cần xem ảnh gốc],"...y, kể từ ngày ký văn bản này, k2nEeEEeaE992961 phải đưa phương ...",
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,đ406đ,[Cần xem ảnh gốc],"... (Ký tên, đóng dâu).9209909092đ406đ.a8%% Mẫu số"",               ""...",
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e0804009A,[Cần xem ảnh gốc],...á dỡ tàu biển; 9960©£©£.0080eee0804009A990090800280999990990690999909...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,a0s,[Cần xem ảnh gốc],...92992990099009990990909989658na0s46028eauens2s9pp$ene ĐẠI DIỆN ...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,s2s,[Cần xem ảnh gốc],...9990990909989658na0s46028eauens2s9pp$ene ĐẠI DIỆN CƠ SỞ PHÁ DỠ ...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,i1u,[Cần xem ảnh gốc],...á đỡ:................277u(eeeei1unennb nen 11a nnnEnnn 1E 1n E ...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e6e,[Cần xem ảnh gốc],.................................e6eseeeeeeeeeneeenneeeneeennssees...,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,A0ộ,[Cần xem ảnh gốc],...$tưút øöOÀeô 989W 602QSZP $$@ A0ộN $đé$ vu.e.... eo... ss.ss.s....,
144-ndcp.signed_bộ xây dựng_processed.json,Số lẫn chữ (OCR),CAO,e0s,[Cần xem ảnh gốc],... (01 bản); Ghỉ chú:...99899999e0s..0Gemgsndtv.eon.eveooeosSet.e...,
144-ndcp.signed_bộ xây dựng_processed.json,Ký tự lạ,THẤP,©,[Xóa hoặc thay thế],"...xây dựng thực hiện; ©) Trình tự, thủ tục...",
144-ndcp.signed_bộ xây dựng_processed.json,Ký tự lạ,THẤP,⁄,[Xóa hoặc thay thế],...O THÔNG ĐƯỜNG BỘ Na ⁄®/Kèm theo Nghị địn...,
144-ndcp.signed_bộ xây dựng_processed.json,Ký tự lạ,THẤP,»,[Xóa hoặc thay thế],"... ” LƯ AI 4 4 Ầ A 7 -» 7? 4 Điệu"",       ...",
144-ndcp.signed_bộ xây dựng_processed.json,Ký tự lạ,THẤP,›,[Xóa hoặc thay thế],...trở lên Mọi cấp » ” › NA Phụ lucJV. CC B...,
144-ndcp.signed_bộ xây dựng_processed.json,Ký tự lạ,THẤP,‹,[Xóa hoặc thay thế],...t cấu khác sử dụng _‹ x x. LÃ x x. LÃ P ...,
144-ndcp.signed_bộ xây dựng_processed.json,Ký tự lạ,THẤP,«,[Xóa hoặc thay thế],"...24626œ0“3‹°2©14â186s«8ợø2° 3, Số điện th...",
144-ndcp.signed_bộ xây dựng_processed.json,Ký tự lạ,THẤP,®,[Xóa hoặc thay thế],...ÚC LẬP QUY HOẠCH sÀ ®ẹ^ - ^ A^ - Z.. P A...,
144-ndcp.signed_bộ xây dựng_processed.json,Có thể sai chính tả,TRUNG BÌNH,điêm,điểm,"...g theo quy định tại điêm a khoản này, đề xuâ...",
146nd.signed_công nghiệp_thương maih_processed.json,Số lẫn chữ (OCR),CAO,G2b,[Cần xem ảnh gốc],"...huộc, Công báo; - Lưu: VT, CN G2b).4$ Ù Phụ lục J H TỰ, THÚ TỤC...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,a0s,[Cần xem ảnh gốc],...định số.9908098606060666œ0@£4xa0s6582.$009063206oe8Ỡ60299990960...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,e8Ỡ,[Cần xem ảnh gốc],...60666œ0@£4xa0s6582.$009063206oe8Ỡ602999909609909004082000909042...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,ố2ô,[Cần xem ảnh gốc],...60990900408200090904206060000số2ô298904095089004090880600@4ôn8$...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,o9o,[Cần xem ảnh gốc],...baeasvaoooooooeo.s.eooeoaooeoeo9oeeooOooOooAooGpeanansoooaoooeA...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,ả422209ỳ,[Cần xem ảnh gốc],... 3979999 899ÐỘ.0.90Đ.9009TlèbAả422209ỳ0øeo8.05.002000000.40.Pb008909...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,b008909890200909009004s,[Cần xem ảnh gốc],"...422209ỳ0øeo8.05.002000000.40.Pb008909890200909009004se0e2søn93Rn40068900959509,/096...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,e0e,[Cần xem ảnh gốc],"...00.40.Pb008909890200909009004se0e2søn93Rn40068900959509,/096990...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,n93R,[Cần xem ảnh gốc],"...Pb008909890200909009004se0e2søn93Rn40068900959509,/0969902684800...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,s0e,[Cần xem ảnh gốc],...90 829Đ2 90809 0689 4890 B858 s0eo P9962 PO O 9690 0.0 9600 08Ạ...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,S80Ạ,[Cần xem ảnh gốc],...962 PO O 9690 0.0 9600 08ẠOoO S80ẠIP 08050 9G@O G®9o BGÓP G090 c...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,g1a,[Cần xem ảnh gốc],"... thành do không có người tham g1a);"",               ""diem"": [  ...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,n80g,[Cần xem ảnh gốc],"...hà, đất, công trình xây dựng, n80g) mục công trình. xây dựng;""  ...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,s08e,[Cần xem ảnh gốc],...ử dụng rừng (nếu có) 9...9. 20s08e00el2á0esnøopọpoooseaÔeGe96neo...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,l2á,[Cần xem ảnh gốc],...rừng (nếu có) 9...9. 20s08e00el2á0esnøopọpoooseaÔeGe96neoooeoeO...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,e96n,[Cần xem ảnh gốc],...20s08e00el2á0esnøopọpoooseaÔeGe96neoooeoeOo090002eeoeostGÔsoo0oe...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,o090002e,[Cần xem ảnh gốc],...0esnøopọpoooseaÔeGe96neoooeoeOo090002eeoeostGÔsoo0oeô09090060se$s2ô2...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,o0o,[Cần xem ảnh gốc],"...e96neoooeoeOo090002eeoeostGÔsoo0oeô09090060se$s2ô28.2ee,e Thời ...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,ô09090060s,[Cần xem ảnh gốc],"...eoooeoeOo090002eeoeostGÔsoo0oeô09090060se$s2ô28.2ee,e Thời hạn sử dụng...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,s2ô,[Cần xem ảnh gốc],"...002eeoeostGÔsoo0oeô09090060se$s2ô28.2ee,e Thời hạn sử dụng đất ...",
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,o0e,[Cần xem ảnh gốc],...DÂN... 89999.7)Ó0.“:0ssssxneneo0e00v.e88..000600400009060400999...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,e90000e,[Cần xem ảnh gốc],...0sø 6098090290089Đ..G&saôóngpoe90000eone990609090060090900968ô°4sSn...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,e990609090060090900968ô,[Cần xem ảnh gốc],...90290089Đ..G&saôóngpoe90000eone990609090060090900968ô°4sSngp9W$8%0t2989040â400 Ghi ...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,p9W,[Cần xem ảnh gốc],...ne990609090060090900968ô°4sSngp9W$8%0t2989040â400 Ghi theo từng...,
151-ndcp.signed_datdai_processed.json,Số lẫn chữ (OCR),CAO,t2989040â,[Cần xem ảnh gốc],...9090060090900968ô°4sSngp9W$8%0t2989040â400 Ghi theo từng loại căn cứ ...,
